feature,importance,std
pause_index,0.03527256862046761,0.04171120700903797
spec_roll_trend,0.008220208990294565,0.019223691771232045
plosive_burst_proxy,0.005265573375641886,0.008344176482229222
global_speaking_rate,0.0013616780301615617,0.026527449615946146
z_energy_trailing,0.000694931845372948,0.015016800233399148
relative_speaking_rate,-3.679418984612326e-05,0.021124066325977194
zcr_trend_100,-0.005041165404956249,0.021261960130614686
trailing_voiced_ratio,-0.005687653347332922,0.010240778143761838
rms_slope_300,-0.006833033316065484,0.029067854986121546
z_pitch_trailing,-0.010993167699926787,0.03787279412815608
f0_slope_300_500,-0.022942226637810093,0.015866823298098666
fade_out_ratio,-0.03236689523189575,0.017956630287933307
spec_cent_trend,-0.036079195575460334,0.010300596414694673
mfcc_delta_mean,-0.049504800045196265,0.03233223949997887
cum_duration,-0.056021710040396244,0.02883279881968764
